Order	Label	X	Y
523	isa1.14.jpg	908	3409
524	isa1.14.jpg	770	3490
525	isa1.14.jpg	602	3544
526	isa1.14.jpg	479	3571
527	isa1.14.jpg	335	3529
528	isa1.14.jpg	182	3529
529	isa1.14.jpg	2292	2416
530	isa1.14.jpg	2202	2341
531	isa1.14.jpg	2097	2230
532	isa1.14.jpg	1989	2110
533	isa1.14.jpg	1860	2005
534	isa1.14.jpg	1710	1939
535	isa1.14.jpg	1566	1906
536	isa1.14.jpg	1419	1930
537	isa1.14.jpg	1263	2020
538	isa1.14.jpg	1296	2140
539	isa1.14.jpg	1380	2260
540	isa1.14.jpg	1500	2344
541	isa1.14.jpg	1674	2413
542	isa1.14.jpg	1776	2410
543	isa1.14.jpg	1941	2404
544	isa1.14.jpg	2088	2395
545	isa1.14.jpg	2181	2401
546	isa1.2.jpg	568	1698
547	isa1.2.jpg	648	1776
548	isa1.2.jpg	750	1882
549	isa1.2.jpg	842	2010
550	isa1.2.jpg	874	2124
551	isa1.2.jpg	906	2238
552	isa1.2.jpg	908	2406
553	isa1.2.jpg	906	2472
554	isa1.2.jpg	890	2536
555	isa1.2.jpg	844	2588
556	isa1.2.jpg	766	2576
557	isa1.2.jpg	682	2512
558	isa1.2.jpg	634	2408
559	isa1.2.jpg	612	2308
560	isa1.2.jpg	580	2208
561	isa1.2.jpg	558	2034
562	isa1.2.jpg	564	1870
563	isa1.2.jpg	2202	1359
564	isa1.2.jpg	2130	1449
565	isa1.2.jpg	1989	1653
566	isa1.2.jpg	1884	1824
567	isa1.2.jpg	1758	1917
568	isa1.2.jpg	1644	1989
569	isa1.2.jpg	1548	2043
570	isa1.2.jpg	1434	2055
571	isa1.2.jpg	1419	1965
572	isa1.2.jpg	1470	1821
573	isa1.2.jpg	1521	1740
574	isa1.2.jpg	1620	1659
575	isa1.2.jpg	1698	1578
576	isa1.2.jpg	1782	1524
577	isa1.2.jpg	1857	1494
578	isa1.2.jpg	1968	1452
579	isa1.2.jpg	2088	1413
580	isa1.3.jpg	1926	1626
581	isa1.3.jpg	1890	1704
582	isa1.3.jpg	1866	1792
583	isa1.3.jpg	1844	1890
584	isa1.3.jpg	1812	1962
585	isa1.3.jpg	1760	2028
586	isa1.3.jpg	1686	2134
587	isa1.3.jpg	1586	2216
588	isa1.3.jpg	1484	2272
589	isa1.3.jpg	1358	2316
590	isa1.3.jpg	1156	2294
591	isa1.3.jpg	1200	2180
592	isa1.3.jpg	1284	2078
593	isa1.3.jpg	1356	2002
594	isa1.3.jpg	1466	1908
595	isa1.3.jpg	1590	1830
596	isa1.3.jpg	1724	1764
597	isa1.3.jpg	1402	2445
598	isa1.3.jpg	1330	2514
599	isa1.3.jpg	1270	2604
600	isa1.3.jpg	1204	2691
601	isa1.3.jpg	1114	2781
602	isa1.3.jpg	1000	2835
603	isa1.3.jpg	880	2871
604	isa1.3.jpg	775	2898
605	isa1.3.jpg	628	2865
606	isa1.3.jpg	676	2721
607	isa1.3.jpg	772	2640
608	isa1.3.jpg	835	2598
609	isa1.3.jpg	919	2559
610	isa1.3.jpg	1003	2526
611	isa1.3.jpg	1078	2493
612	isa1.3.jpg	1159	2484
613	isa1.3.jpg	1288	2466
614	isa1.4.jpg	2571	2602
615	isa1.4.jpg	2521	2602
616	isa1.4.jpg	2429	2642
617	isa1.4.jpg	2307	2722
618	isa1.4.jpg	2209	2742
619	isa1.4.jpg	2131	2750
620	isa1.4.jpg	2055	2734
621	isa1.4.jpg	1963	2718
622	isa1.4.jpg	1889	2672
623	isa1.4.jpg	1957	2620
624	isa1.4.jpg	2019	2568
625	isa1.4.jpg	2131	2520
626	isa1.4.jpg	2207	2498
627	isa1.4.jpg	2313	2496
628	isa1.4.jpg	2399	2514
629	isa1.4.jpg	2463	2548
630	isa1.4.jpg	2521	2576
631	isa1.4.jpg	1221	3333
632	isa1.4.jpg	1101	3321
633	isa1.4.jpg	966	3318
634	isa1.4.jpg	840	3252
635	isa1.4.jpg	759	3174
636	isa1.4.jpg	672	3090
637	isa1.4.jpg	627	3024
638	isa1.4.jpg	612	2955
